Stock Symbol,Beta,Dividend Yield,EPS (TTM),Ex-Dividend Date,Latest Dividend,Market Value,P/E Ratio (TTM),Percent of Float,Shares Outstanding,Short Interest,Short Interest Change,Volume
2GO,0.46,,₱0.22,,,₱33.24B,62.65,,,N/A (),,237.61K
AAA,2.01,,,,,,,,800M,N/A (),,
AB,0.17,,-₱0.01,,,₱11.45B,,,,N/A (),,31.64K
ABA,0.67,,₱1.109,,,₱10.55B,2.27,,4.19B,N/A (),,7.95M
ABG,0.2,,-₱0.014,,,₱999M,,,,N/A (),,2.6K
ABS,0.36,0.00%,-₱2.93,11-Mar-19,₱0.55,₱6.39B,,,899.85M,N/A (),,188.68K
ABSP,0.36,0.00%,-₱2.93,11-Mar-19,₱0.55,₱6.39B,,,899.85M,N/A (),,188.68K
AC,1.12,1.05%,₱46.09,22-Dec-22,₱3.46,₱419.79B,14.23,,619.15M,N/A (),,243.09K
ACE,0.06,,-₱0.211,,,₱548.15M,,,,N/A (),,3.74K
ACEN,0.72,1.00%,₱0.37,09-Mar-18,₱0.04,₱238.06B,16.22,,39.68B,N/A (),,25.49M
ACR,0.3,2.60%,₱0.092,27-Jun-18,₱0.020,₱4.97B,8.33,,,N/A (),,60.94K
AEV,1.09,2.67%,₱4.41,19-Mar-20,₱1.30,₱311.91B,12.47,,5.63B,N/A (),,2M
AGI,0.92,0.87%,₱1.73,25-Nov-22,₱0.12,₱119.48B,7.99,,9.07B,N/A (),,2.12M
ALCO,0.38,2.40%,₱0.108,06-Jul-22,₱0.012,₱2.71B,4.63,,,N/A (),,116.72K
ALHI,-0.04,0.50%,₱0.47,29-May-23,₱0.03,₱6.08B,12.74,,,N/A (),,4.91K
ALI,1.26,1.09%,₱1.35,02-Mar-23,₱0.15,₱397.04B,19.47,,14.98B,N/A (),,11.35M
ALLDY,0.65,,₱0.013,,,₱5.05B,16.42,,22.86B,N/A (),,11.95M
ALLHC,0.69,,₱0.161,,,₱18.01B,17.83,,6.3B,N/A (),,1.37M
ALTER,-0.38,,,,,₱3.66B,,,3.93B,N/A (),,20.95M
ANI,0.15,,₱0.01,,,₱7.57B,763.54,,,N/A (),,7.83M
ANS,0.13,4.55%,₱0.60,12-Mar-21,₱0.50,₱13.5B,18.29,,,N/A (),,53.99K
AP,0.74,4.97%,₱3.74,14-Mar-23,₱1.87,₱276.32B,10.05,,,N/A (),,1.19M
APC,0.37,,₱0.000,,,₱1.68B,,,,N/A (),,2.96M
APL,0.53,,₱0.000,,,₱9.07B,,,292.69B,N/A (),,266.82M
APO,0.45,,-₱0.053,,,₱1.92B,,,,N/A (),,88.89K
APVI,0.53,,₱1.11,,,₱1.09B,9.85,,100M,N/A (),,9.89K
APX,0.48,,₱0.572,,,₱16.68B,5.17,,,N/A (),,8.89M
AR,0.42,,₱0.000,,,₱916.76M,,,,N/A (),,41.82B
